"Subject","SUBJE0","SUBJE1","SUBJE2","SUBJE3","SUBJE4","SUBJE5","SUBJE6","WhiteOnlyFilter","PRace","PRace_Mix","PRACE0","PRACE1","PRACE2","PRACE3","PRACE4","PRACE5","PRACE6","PGender","PAge","AW_B","AWM_BM","AWF_BF","AW_EA","AWM_EAM","AWW_EAW","AW_SA","AWM_SAM","AWW_SAW","Therm_3","Therm_6","Therm_8","Therm_9","Therm_14","Therm_15","Therm_1","Therm_2","Therm_4","Therm_5","Therm_7","Therm_10","Therm_11","Therm_12","Therm_13","Therm_16","Therm_17","V8","V9","Consent"
"Haigh1995                                                                                                                                                                                                                                                      ","                                                                                                                                                                                                                                                               ","                                                                                                                                                                                                                                                               ","                                                                                                                                                                                                                                                               ","                                                                                                                                                                                                                                                               ","                                                                                                                                                                                                                                                               ","                                                                                                                                                                                                                                                               ","                                                                                                                                                                                                                                            ",1,1,"                                                                                                                                                                                                                                                               ","                                                                                                                                                                                                                                                               ","                                                                                                                                                                                                                                                               ","                                                                                                                                                                                                                                                               ","                                                                                                                                                                                                                                                               ","                                                                                                                                                                                                                                                               ","                                                                                                                                                                                                                                                               ","                                                                                                                                                                                                                                            ","female    ",19,0,0,0,0,0,0,0,0,0,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,13636905772,13636909280,1
"layte1995                                                                                                                                                                                                                                                      ","                                                                                                                                                                                                                                                               ","                                                                                                                                                                                                                                                               ","                                                                                                                                                                                                                                                               ","                                                                                                                                                                                                                                                               ","                                                                                                                                                                                                                                                               ","                                                                                                                                                                                                                                                               ","                                                                                                                                                                                                                                            ",1,1,"                                                                                                                                                                                                                                                               ","                                                                                                                                                                                                                                                               ","                                                                                                                                                                                                                                                               ","                                                                                                                                                                                                                                                               ","                                                                                                                                                                                                                                                               ","                                                                                                                                                                                                                                                               ","                                                                                                                                                                                                                                                               ","                                                                                                                                                                                                                                            ","female    ",19,-1,0,1,0,0,3,0,1,7,71,70,65,70,65,71,70,71,70,63,64,65,68,64,64,64,64,13640891739,13640893264,1
"Pal1414                                                                                                                                                                                                                                                        ","                                                                                                                                                                                                                                                               ","                                                                                                                                                                                                                                                               ","                                                                                                                                                                                                                                                               ","                                                                                                                                                                                                                                                               ","                                                                                                                                                                                                                                                               ","                                                                                                                                                                                                                                                               ","                                                                                                                                                                                                                                            ",1,1,"                                                                                                                                                                                                                                                               ","                                                                                                                                                                                                                                                               ","                                                                                                                                                                                                                                                               ","                                                                                                                                                                                                                                                               ","                                                                                                                                                                                                                                                               ","                                                                                                                                                                                                                                                               ","                                                                                                                                                                                                                                                               ","                                                                                                                                                                                                                                            ","female    ",19,47,20,7,53,-2,16,53,18,29,42,89,55,79,75,86,59,61,36,25,74,77,70,57,57,83,93,13640736209,13640736561,1
"santos1995                                                                                                                                                                                                                                                     ","                                                                                                                                                                                                                                                               ","                                                                                                                                                                                                                                                               ","                                                                                                                                                                                                                                                               ","                                                                                                                                                                                                                                                               ","                                                                                                                                                                                                                                                               ","                                                                                                                                                                                                                                                               ","                                                                                                                                                                                                                                            ",1,1,"                                                                                                                                                                                                                                                               ","                                                                                                                                                                                                                                                               ","                                                                                                                                                                                                                                                               ","                                                                                                                                                                                                                                                               ","                                                                                                                                                                                                                                                               ","                                                                                                                                                                                                                                                               ","                                                                                                                                                                                                                                                               ","                                                                                                                                                                                                                                            ","female    ",19,29,28,27,19,46,NA,19,46,19,71,100,72,73,100,100,100,100,81,52,71,54,NA,54,81,77,77,13637777155,13637779414,1
"sarah1811                                                                                                                                                                                                                                                      ","                                                                                                                                                                                                                                                               ","                                                                                                                                                                                                                                                               ","                                                                                                                                                                                                                                                               ","                                                                                                                                                                                                                                                               ","                                                                                                                                                                                                                                                               ","                                                                                                                                                                                                                                                               ","                                                                                                                                                                                                                                            ",1,1,"                                                                                                                                                                                                                                                               ","                                                                                                                                                                                                                                                               ","                                                                                                                                                                                                                                                               ","                                                                                                                                                                                                                                                               ","                                                                                                                                                                                                                                                               ","                                                                                                                                                                                                                                                               ","                                                                                                                                                                                                                                                               ","                                                                                                                                                                                                                                            ","female    ",19,0,1,-1,0,1,-1,0,1,-1,50,50,50,50,51,49,50,50,50,50,50,50,50,50,50,50,50,13637548607,13637551909,1
"Whitehouse4272                                                                                                                                                                                                                                                 ","                                                                                                                                                                                                                                                               ","                                                                                                                                                                                                                                                               ","                                                                                                                                                                                                                                                               ","                                                                                                                                                                                                                                                               ","                                                                                                                                                                                                                                                               ","                                                                                                                                                                                                                                                               ","                                                                                                                                                                                                                                            ",1,1,"                                                                                                                                                                                                                                                               ","                                                                                                                                                                                                                                                               ","                                                                                                                                                                                                                                                               ","                                                                                                                                                                                                                                                               ","                                                                                                                                                                                                                                                               ","                                                                                                                                                                                                                                                               ","                                                                                                                                                                                                                                                               ","                                                                                                                                                                                                                                            ","female    ",19,0,11,-1,1,-1,0,1,11,0,70,70,59,71,70,70,70,70,69,70,70,71,70,59,70,70,70,13637001333,13637003328,1
"bebenova4321                                                                                                                                                                                                                                                   ","                                                                                                                                                                                                                                                               ","                                                                                                                                                                                                                                                               ","                                                                                                                                                                                                                                                               ","                                                                                                                                                                                                                                                               ","                                                                                                                                                                                                                                                               ","                                                                                                                                                                                                                                                               ","                                                                                                                                                                                                                                            ",0,2,"                                                                                                                                                                                                                                                               ","                                                                                                                                                                                                                                                               ","                                                                                                                                                                                                                                                               ","                                                                                                                                                                                                                                                               ","                                                                                                                                                                                                                                                               ","                                                                                                                                                                                                                                                               ","                                                                                                                                                                                                                                                               ","                                                                                                                                                                                                                                            ","female    ",19,-15,17,-4,-15,5,3,-15,5,3,65,50,54,73,71,69,90,90,65,65,73,66,66,66,66,74,75,13637173202,13637175600,1
"CHY1234                                                                                                                                                                                                                                                        ","                                                                                                                                                                                                                                                               ","                                                                                                                                                                                                                                                               ","                                                                                                                                                                                                                                                               ","                                                                                                                                                                                                                                                               ","                                                                                                                                                                                                                                                               ","                                                                                                                                                                                                                                                               ","                                                                                                                                                                                                                                            ",0,2,"                                                                                                                                                                                                                                                               ","                                                                                                                                                                                                                                                               ","                                                                                                                                                                                                                                                               ","                                                                                                                                                                                                                                                               ","                                                                                                                                                                                                                                                               ","                                                                                                                                                                                                                                                               ","                                                                                                                                                                                                                                                               ","                                                                                                                                                                                                                                            ","female    ",31,-20,-10,-19,-1,-1,0,-1,30,-19,100,80,90,100,80,81,100,100,81,70,100,81,81,50,100,81,100,13636915962,13636917540,1
"PER3005                                                                                                                                                                                                                                                        ","                                                                                                                                                                                                                                                               ","                                                                                                                                                                                                                                                               ","                                                                                                                                                                                                                                                               ","                                                                                                                                                                                                                                                               ","                                                                                                                                                                                                                                                               ","                                                                                                                                                                                                                                                               ","                                                                                                                                                                                                                                            ",1,1,"                                                                                                                                                                                                                                                               ","                                                                                                                                                                                                                                                               ","                                                                                                                                                                                                                                                               ","                                                                                                                                                                                                                                                               ","                                                                                                                                                                                                                                                               ","                                                                                                                                                                                                                                                               ","                                                                                                                                                                                                                                                               ","                                                                                                                                                                                                                                            ","male      ",20,30,30,10,29,30,30,29,60,60,51,81,40,60,70,70,60,81,52,10,50,40,40,10,10,50,51,13641119951,13641146049,1
"kan1308                                                                                                                                                                                                                                                        ","                                                                                                                                                                                                                                                               ","                                                                                                                                                                                                                                                               ","                                                                                                                                                                                                                                                               ","                                                                                                                                                                                                                                                               ","                                                                                                                                                                                                                                                               ","                                                                                                                                                                                                                                                               ","                                                                                                                                                                                                                                            ",0,3,"                                                                                                                                                                                                                                                               ","                                                                                                                                                                                                                                                               ","                                                                                                                                                                                                                                                               ","                                                                                                                                                                                                                                                               ","                                                                                                                                                                                                                                                               ","                                                                                                                                                                                                                                                               ","                                                                                                                                                                                                                                                               ","                                                                                                                                                                                                                                            ","female    ",18,0,1,3,1,3,2,1,5,4,68,68,66,64,67,67,67,67,67,62,62,64,65,62,63,64,64,13641521326,13641523258,1
"Ma1112                                                                                                                                                                                                                                                         ","                                                                                                                                                                                                                                                               ","                                                                                                                                                                                                                                                               ","                                                                                                                                                                                                                                                               ","                                                                                                                                                                                                                                                               ","                                                                                                                                                                                                                                                               ","                                                                                                                                                                                                                                                               ","                                                                                                                                                                                                                                            ",0,4,"                                                                                                                                                                                                                                                               ","                                                                                                                                                                                                                                                               ","                                                                                                                                                                                                                                                               ","                                                                                                                                                                                                                                                               ","                                                                                                                                                                                                                                                               ","                                                                                                                                                                                                                                                               ","                                                                                                                                                                                                                                                               ","                                                                                                                                                                                                                                            ","female    ",19,9,0,-9,-1,-1,-8,-1,9,11,71,80,70,80,70,71,70,81,81,60,80,71,79,61,60,59,71,13641746800,13641748211,1
